29207.380026687802 200-500-0.1-0.6-0.30000000000000004,28885.22762060193 200-500-0.15-0.6-0.25,24289.283982697798 200-500-0.2-0.6-0.20000000000000007,37210.57455705127 200-500-0.25-0.6-0.15000000000000002,7219.095115526428 200-500-0.3-0.6-0.09999999999999998,61056.957115641635 200-500-0.35-0.6-0.050000000000000044,16095.309732246775 200-500-0.4-0.6-0.0,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Fraction of Elite,Fitness
29207.380026687802 200-500-0.1-0.6-0.30000000000000004,,,,,,,29207.38003,200-500-0.1-0.6-0.30000000000000004,,,,,,0.1,29207.38003
28885.22762060193 200-500-0.15-0.6-0.25,,,,,,,28885.22762,200-500-0.15-0.6-0.25,,,,,,0.15,28885.22762
24289.283982697798 200-500-0.2-0.6-0.20000000000000007,,,,,,,24289.28398,200-500-0.2-0.6-0.20000000000000007,,,,,,0.2,24289.28398
37210.57455705127 200-500-0.25-0.6-0.15000000000000002,,,,,,,37210.57456,200-500-0.25-0.6-0.15000000000000002,,,,,,0.25,37210.57456
7219.095115526428 200-500-0.3-0.6-0.09999999999999998,,,,,,,7219.095116,200-500-0.3-0.6-0.09999999999999998,,,,,,0.3,7219.095116
61056.957115641635 200-500-0.35-0.6-0.050000000000000044,,,,,,,61056.95712,200-500-0.35-0.6-0.050000000000000044,,,,,,0.35,61056.95712
16095.309732246775 200-500-0.4-0.6-0.0,,,,,,,16095.30973,200-500-0.4-0.6-0.0,,,,,,0.4,16095.30973
